#============= ===========   GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         
#     TIME        DATE       FGIP           FPR            FGPR           FGIR           WGPR           WGPR           WBHP           WBHP           WWPR           
#     MODEL       MODEL      FIELD          FIELD          FIELD          FIELD          S1             S2             S1             S2             S1           
#     [day]        [-]       [sm3]          [Bara]         sm3/day        sm3/day        sm3/day        sm3/day        [Bara]         [Bara]         sm3/day       
#============= =========== ============== ============== ============== ============== ============== ============== ============== ============== ==============
     35.000000  05.02.2010  1.1818210E+07   34.98222       0.000000       0.000000       0.000000       0.000000       21.43503       38.33776       0.000000    
     36.000000  06.02.2010  1.1818221E+07   34.98475       0.000000       0.000000       0.000000       0.000000       23.01017       38.11814       0.000000    
     37.000000  07.02.2010  1.1818223E+07   34.98712       0.000000       0.000000       0.000000       0.000000       24.26072       38.23702       0.000000    
     38.000000  08.02.2010  1.1818249E+07   34.98905       0.000000       0.000000       0.000000       0.000000       25.26904       38.01911       0.000000    
     39.000000  09.02.2010  1.1818223E+07   34.99062       0.000000       0.000000       0.000000       0.000000       26.08468       38.14787       0.000000    
     40.000000  10.02.2010  1.1818209E+07   34.99211       0.000000       0.000000       0.000000       0.000000       26.76810       37.92666       0.000000    
     41.000000  11.02.2010  1.1818183E+07   34.99350       0.000000       0.000000       0.000000       0.000000       27.28939       38.05703       0.000000    
     42.000000  12.02.2010  1.1818206E+07   34.99483       0.000000       0.000000       0.000000       0.000000       27.73811       37.82797       0.000000    
     43.000000  13.02.2010  1.1818186E+07   34.99610       0.000000       0.000000       0.000000       0.000000       28.13275       37.96214       0.000000    
     44.000000  14.02.2010  1.1818270E+07   34.99728       0.000000       0.000000       0.000000       0.000000       28.48376       37.73090       0.000000    
     45.000000  15.02.2010  1.1818287E+07   34.99846       0.000000       0.000000       0.000000       0.000000       28.79763       37.86961       0.000000    
     46.000000  16.02.2010  1.1818307E+07   34.99950       0.000000       0.000000       0.000000       0.000000       29.07978       37.63670       0.000000    
     47.000000  17.02.2010  1.1818291E+07   35.00042       0.000000       0.000000       0.000000       0.000000       29.33237       37.78027       0.000000    
     48.000000  18.02.2010  1.1818289E+07   35.00133       0.000000       0.000000       0.000000       0.000000       29.55986       37.54588       0.000000    
     49.000000  19.02.2010  1.1818275E+07   35.00219       0.000000       0.000000       0.000000       0.000000       29.76619       37.69438       0.000000    
     50.000000  20.02.2010  1.1818314E+07   35.00303       0.000000       0.000000       0.000000       0.000000       29.95459       37.45855       0.000000    
     51.000000  21.02.2010  1.1818315E+07   35.00384       0.000000       0.000000       0.000000       0.000000       30.12768       37.61191       0.000000    
     52.000000  22.02.2010  1.1818313E+07   35.00461       0.000000       0.000000       0.000000       0.000000       30.28595       37.37463       0.000000    
     53.000000  23.02.2010  1.1818320E+07   35.00533       0.000000       0.000000       0.000000       0.000000       30.43341       37.53276       0.000000    
     54.000000  24.02.2010  1.1818323E+07   35.00599       0.000000       0.000000       0.000000       0.000000       30.57072       37.29400       0.000000    
     55.000000  25.02.2010  1.1818316E+07   35.00660       0.000000       0.000000       0.000000       0.000000       30.70004       37.45678       0.000000    
     56.000000  26.02.2010  1.1818315E+07   35.00717       0.000000       0.000000       0.000000       0.000000       30.82209       37.21650       0.000000    
     57.000000  27.02.2010  1.1818311E+07   35.00772       0.000000       0.000000       0.000000       0.000000       30.93766       37.38365       0.000000    
     58.000000  28.02.2010  1.1818310E+07   35.00824       0.000000       0.000000       0.000000       0.000000       31.04736       37.14190       0.000000    
     59.000000  01.03.2010  1.1818300E+07   35.00871       0.000000       0.000000       0.000000       0.000000       31.15184       37.31340       0.000000    
     60.000000  02.03.2010  1.1818304E+07   35.00918       0.000000       0.000000       0.000000       0.000000       31.25149       37.07012       0.000000    
